dataset_name,class_names,total_original_image_count,original_training_partition_count,original_testing_partition_count,training_fraction_used,actual_number_original_training_images,augmentation_repeat_level,effective_training_size,test_accuracy,training_time_sec,tn,fp,fn,tp
carpet,"['class_0', 'class_1']",397,277,120,0.05,13,0,13,22.5,5.736893653869629,0,93,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.05,13,1,26,24.166666666666668,10.36745309829712,2,91,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.05,13,2,39,29.166666666666668,17.036673545837402,8,85,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.05,13,4,65,34.166666666666664,28.448758602142334,16,77,2,25
carpet,"['class_0', 'class_1']",397,277,120,0.05,13,8,117,73.33333333333333,49.47901797294617,66,27,5,22
carpet,"['class_0', 'class_1']",397,277,120,0.1,27,0,27,22.5,11.740668296813965,0,93,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.1,27,1,54,67.5,23.477327823638916,63,30,9,18
carpet,"['class_0', 'class_1']",397,277,120,0.1,27,2,81,24.166666666666668,33.94993448257446,5,88,3,24
carpet,"['class_0', 'class_1']",397,277,120,0.1,27,4,135,75.83333333333333,57.52605605125427,70,23,6,21
carpet,"['class_0', 'class_1']",397,277,120,0.1,27,8,243,89.16666666666667,100.50448846817017,89,4,9,18
carpet,"['class_0', 'class_1']",397,277,120,0.2,55,0,55,77.5,23.07482123374939,93,0,27,0
carpet,"['class_0', 'class_1']",397,277,120,0.2,55,1,110,64.16666666666667,46.331218957901,58,35,8,19
carpet,"['class_0', 'class_1']",397,277,120,0.2,55,2,165,57.5,69.51882863044739,48,45,6,21
carpet,"['class_0', 'class_1']",397,277,120,0.2,55,4,275,82.5,115.0827865600586,89,4,17,10
carpet,"['class_0', 'class_1']",397,277,120,0.2,55,8,495,92.5,202.7573218345642,91,2,7,20
carpet,"['class_0', 'class_1']",397,277,120,0.3,83,0,83,22.5,34.19594359397888,0,93,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.3,83,1,166,18.333333333333332,68.66872596740723,3,90,8,19
carpet,"['class_0', 'class_1']",397,277,120,0.3,83,2,249,78.33333333333333,103.45227527618408,84,9,17,10
carpet,"['class_0', 'class_1']",397,277,120,0.3,83,4,415,94.16666666666667,172.41351914405823,87,6,1,26
carpet,"['class_0', 'class_1']",397,277,120,0.3,83,8,747,92.5,308.959255695343,89,4,5,22
carpet,"['class_0', 'class_1']",397,277,120,0.4,110,0,110,23.333333333333332,45.60341000556946,9,84,8,19
carpet,"['class_0', 'class_1']",397,277,120,0.4,110,1,220,75.0,92.70265746116638,75,18,12,15
carpet,"['class_0', 'class_1']",397,277,120,0.4,110,2,330,90.0,139.81345653533936,86,7,5,22
carpet,"['class_0', 'class_1']",397,277,120,0.4,110,4,550,92.5,233.04145312309265,90,3,6,21
carpet,"['class_0', 'class_1']",397,277,120,0.4,110,8,990,93.33333333333333,417.87193608283997,89,4,4,23
carpet,"['class_0', 'class_1']",397,277,120,0.5,138,0,138,82.5,57.75463914871216,79,14,7,20
carpet,"['class_0', 'class_1']",397,277,120,0.5,138,1,276,86.66666666666667,112.93094849586487,92,1,15,12
carpet,"['class_0', 'class_1']",397,277,120,0.5,138,2,414,36.666666666666664,169.73212718963623,31,62,14,13
carpet,"['class_0', 'class_1']",397,277,120,0.5,138,4,690,50.0,285.79057598114014,33,60,0,27
carpet,"['class_0', 'class_1']",397,277,120,0.5,138,8,1242,94.16666666666667,525.921505689621,90,3,4,23
carpet,"['class_0', 'class_1']",397,277,120,0.75,207,0,207,79.16666666666667,88.22943902015686,93,0,25,2
carpet,"['class_0', 'class_1']",397,277,120,0.75,207,1,414,95.83333333333333,174.892409324646,92,1,4,23
carpet,"['class_0', 'class_1']",397,277,120,0.75,207,2,621,41.666666666666664,263.1718313694,38,55,15,12
carpet,"['class_0', 'class_1']",397,277,120,0.75,207,4,1035,41.666666666666664,438.285879611969,49,44,26,1
carpet,"['class_0', 'class_1']",397,277,120,0.75,207,8,1863,81.66666666666667,789.039657831192,87,6,16,11
carpet,"['class_0', 'class_1']",397,277,120,1.0,277,0,277,52.5,117.47499585151672,36,57,0,27
carpet,"['class_0', 'class_1']",397,277,120,1.0,277,1,554,94.16666666666667,233.8085904121399,92,1,6,21
carpet,"['class_0', 'class_1']",397,277,120,1.0,277,2,831,87.5,351.5557072162628,82,11,4,23
carpet,"['class_0', 'class_1']",397,277,120,1.0,277,4,1385,95.0,584.4768176078796,93,0,6,21
carpet,"['class_0', 'class_1']",397,277,120,1.0,277,8,2493,94.16666666666667,1039.733421087265,93,0,7,20
