dataset_name,class_names,total_original_image_count,original_training_partition_count,original_testing_partition_count,training_fraction_used,actual_number_original_training_images,augmentation_repeat_level,effective_training_size,test_accuracy,training_time_sec,tn,fp,fn,tp
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.05,59,0,59,53.13725490196079,12.289135694503784,99,156,83,172
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.05,59,1,118,60.19607843137255,24.710347175598145,145,110,93,162
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.05,59,2,177,48.8235294117647,36.58592748641968,92,163,98,157
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.05,59,4,295,57.84313725490196,61.01871132850647,166,89,126,129
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.05,59,8,531,53.13725490196079,114.14137387275696,214,41,198,57
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.1,119,0,119,60.588235294117645,25.744256019592285,171,84,117,138
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.1,119,1,238,55.09803921568628,49.32290315628052,116,139,90,165
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.1,119,2,357,55.09803921568628,75.68198347091675,204,51,178,77
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.1,119,4,595,57.450980392156865,125.06738376617432,177,78,139,116
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.1,119,8,1071,56.666666666666664,220.09037470817566,96,159,62,193
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.2,238,0,238,57.254901960784316,51.55252480506897,233,22,196,59
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.2,238,1,476,55.294117647058826,97.22082209587097,176,79,149,106
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.2,238,2,714,62.549019607843135,147.36795568466187,141,114,77,178
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.2,238,4,1190,51.372549019607845,243.3787829875946,21,234,14,241
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.2,238,8,2142,59.21568627450981,440.20095038414,103,152,56,199
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.3,357,0,357,61.96078431372549,72.547776222229,210,45,149,106
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.3,357,1,714,64.31372549019608,145.42045831680298,185,70,112,143
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.3,357,2,1071,68.03921568627452,219.47300386428833,184,71,92,163
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.3,357,4,1785,66.47058823529412,369.15253806114197,141,114,57,198
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.3,357,8,3213,66.66666666666667,694.2017176151276,187,68,102,153
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.4,476,0,476,62.15686274509804,103.08333921432495,169,86,107,148
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.4,476,1,952,65.68627450980392,199.07741856575012,177,78,97,158
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.4,476,2,1428,67.05882352941177,304.8449754714966,217,38,130,125
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.4,476,4,2380,66.27450980392157,498.7748475074768,226,29,143,112
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.4,476,8,4284,66.07843137254902,912.1690592765808,137,118,55,200
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.5,595,0,595,63.13725490196079,125.94690179824829,134,121,67,188
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.5,595,1,1190,62.94117647058823,253.28314471244812,206,49,140,115
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.5,595,2,1785,58.03921568627451,376.290988445282,86,169,45,210
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.5,595,4,2975,69.41176470588235,611.4712853431702,215,40,116,139
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.5,595,8,5355,70.3921568627451,1107.15789103508,215,40,111,144
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.75,892,0,892,64.11764705882354,186.8172390460968,230,25,158,97
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.75,892,1,1784,64.11764705882354,368.05496644973755,127,128,55,200
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.75,892,2,2676,72.3529411764706,560.363439321518,229,26,115,140
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.75,892,4,4460,73.52941176470588,940.4412989616394,215,40,95,160
cat_dog,"['class_0', 'class_1']",1700,1190,510,0.75,892,8,8028,72.54901960784314,1700.4701616764069,153,102,38,217
cat_dog,"['class_0', 'class_1']",1700,1190,510,1.0,1190,0,1190,64.31372549019608,251.2672417163849,129,126,56,199
cat_dog,"['class_0', 'class_1']",1700,1190,510,1.0,1190,1,2380,70.3921568627451,493.13329887390137,169,86,65,190
cat_dog,"['class_0', 'class_1']",1700,1190,510,1.0,1190,2,3570,74.31372549019608,734.3978917598724,208,47,84,171
cat_dog,"['class_0', 'class_1']",1700,1190,510,1.0,1190,4,5950,76.27450980392157,1243.2781193256378,180,75,46,209
cat_dog,"['class_0', 'class_1']",1700,1190,510,1.0,1190,8,10710,78.43137254901961,2237.0874469280243,206,49,61,194
