dataset_name,class_names,total_original_image_count,original_training_partition_count,original_testing_partition_count,training_fraction_used,actual_number_original_training_images,augmentation_repeat_level,effective_training_size,test_accuracy,training_time_sec,tn,fp,fn,tp
toothbrush,"['class_0', 'class_1']",102,71,31,0.05,3,0,3,70.96774193548387,1.5549418926239014,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.05,3,1,6,70.96774193548387,2.5788979530334473,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.05,3,2,9,45.16129032258065,3.835256576538086,13,9,8,1
toothbrush,"['class_0', 'class_1']",102,71,31,0.05,3,4,15,74.19354838709677,6.530325889587402,22,0,8,1
toothbrush,"['class_0', 'class_1']",102,71,31,0.05,3,8,27,70.96774193548387,11.704672813415527,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.1,7,0,7,70.96774193548387,2.899445056915283,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.1,7,1,14,70.96774193548387,5.818781614303589,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.1,7,2,21,70.96774193548387,9.328748941421509,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.1,7,4,35,70.96774193548387,15.14048981666565,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.1,7,8,63,77.41935483870968,26.899038076400757,22,0,7,2
toothbrush,"['class_0', 'class_1']",102,71,31,0.2,14,0,14,70.96774193548387,5.575776100158691,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.2,14,1,28,70.96774193548387,12.266723871231079,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.2,14,2,42,70.96774193548387,17.286432027816772,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.2,14,4,70,77.41935483870968,30.23608899116516,22,0,7,2
toothbrush,"['class_0', 'class_1']",102,71,31,0.2,14,8,126,29.032258064516128,53.08197069168091,0,22,0,9
toothbrush,"['class_0', 'class_1']",102,71,31,0.3,21,0,21,70.96774193548387,8.490542650222778,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.3,21,1,42,70.96774193548387,17.86003565788269,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.3,21,2,63,70.96774193548387,26.43804359436035,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.3,21,4,105,70.96774193548387,44.454140424728394,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.3,21,8,189,29.032258064516128,78.45689845085144,0,22,0,9
toothbrush,"['class_0', 'class_1']",102,71,31,0.4,28,0,28,70.96774193548387,11.955911636352539,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.4,28,1,56,70.96774193548387,23.184789180755615,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.4,28,2,84,70.96774193548387,35.80718779563904,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.4,28,4,140,70.96774193548387,58.69697046279907,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.4,28,8,252,77.41935483870968,106.83207035064697,22,0,7,2
toothbrush,"['class_0', 'class_1']",102,71,31,0.5,35,0,35,70.96774193548387,14.800942420959473,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.5,35,1,70,54.83870967741935,30.033836603164673,16,6,8,1
toothbrush,"['class_0', 'class_1']",102,71,31,0.5,35,2,105,70.96774193548387,44.30888652801514,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.5,35,4,175,41.935483870967744,73.99581217765808,9,13,5,4
toothbrush,"['class_0', 'class_1']",102,71,31,0.5,35,8,315,35.483870967741936,132.26985907554626,5,17,3,6
toothbrush,"['class_0', 'class_1']",102,71,31,0.75,53,0,53,70.96774193548387,22.653124809265137,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.75,53,1,106,70.96774193548387,44.68702411651611,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,0.75,53,2,159,29.032258064516128,67.68934655189514,0,22,0,9
toothbrush,"['class_0', 'class_1']",102,71,31,0.75,53,4,265,74.19354838709677,112.08647894859314,22,0,8,1
toothbrush,"['class_0', 'class_1']",102,71,31,0.75,53,8,477,74.19354838709677,203.5135099887848,22,0,8,1
toothbrush,"['class_0', 'class_1']",102,71,31,1.0,71,0,71,70.96774193548387,30.587736129760742,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,1.0,71,1,142,29.032258064516128,60.611005544662476,0,22,0,9
toothbrush,"['class_0', 'class_1']",102,71,31,1.0,71,2,213,70.96774193548387,90.44296097755432,22,0,9,0
toothbrush,"['class_0', 'class_1']",102,71,31,1.0,71,4,355,77.41935483870968,150.61369681358337,21,1,6,3
toothbrush,"['class_0', 'class_1']",102,71,31,1.0,71,8,639,29.032258064516128,270.35161232948303,0,22,0,9
