x1,x2,y
557.0,485.0,557.0
767.0,927.0,927.0
808.0,108.0,808.0
774.0,874.0,874.0
761.0,14.0,761.0
56.0,179.0,179.0
471.0,370.0,471.0
675.0,386.0,675.0
418.0,238.0,418.0
374.0,603.0,603.0
806.0,782.0,806.0
167.0,997.0,997.0
537.0,790.0,790.0
585.0,319.0,585.0
452.0,279.0,452.0
614.0,324.0,614.0
837.0,608.0,837.0
96.0,621.0,621.0
342.0,75.0,342.0
789.0,970.0,970.0
461.0,783.0,783.0
742.0,846.0,846.0
478.0,669.0,669.0
778.0,327.0,778.0
730.0,127.0,730.0
424.0,864.0,864.0
611.0,560.0,611.0
207.0,91.0,207.0
252.0,641.0,641.0
538.0,951.0,951.0
808.0,211.0,808.0
666.0,120.0,666.0
828.0,546.0,828.0
634.0,248.0,634.0
335.0,162.0,335.0
696.0,931.0,931.0
837.0,310.0,837.0
858.0,890.0,890.0
97.0,28.0,97.0
98.0,187.0,187.0
283.0,326.0,326.0
566.0,874.0,874.0
598.0,335.0,598.0
724.0,730.0,730.0
731.0,907.0,907.0
5.0,834.0,834.0
638.0,660.0,660.0
293.0,897.0,897.0
752.0,701.0,752.0
686.0,91.0,686.0
799.0,563.0,799.0
813.0,488.0,813.0
792.0,175.0,792.0
489.0,348.0,489.0
995.0,727.0,995.0
509.0,6.0,509.0
5.0,166.0,166.0
713.0,146.0,713.0
66.0,847.0,847.0
598.0,969.0,969.0
463.0,621.0,621.0
547.0,570.0,570.0
707.0,466.0,707.0
725.0,749.0,749.0
574.0,920.0,920.0
181.0,925.0,925.0
371.0,123.0,371.0
159.0,797.0,797.0
286.0,991.0,991.0
660.0,915.0,915.0
38.0,577.0,577.0
168.0,317.0,317.0
522.0,218.0,522.0
145.0,950.0,950.0
384.0,760.0,760.0
670.0,999.0,999.0
760.0,563.0,760.0
246.0,602.0,602.0
722.0,585.0,722.0
970.0,571.0,970.0
894.0,818.0,894.0
577.0,627.0,627.0
337.0,478.0,478.0
714.0,748.0,748.0
654.0,105.0,654.0
10.0,272.0,272.0
681.0,148.0,681.0
284.0,194.0,284.0
877.0,2.0,877.0
611.0,170.0,611.0
393.0,147.0,393.0
339.0,590.0,590.0
864.0,228.0,864.0
131.0,268.0,268.0
539.0,94.0,539.0
464.0,958.0,958.0
483.0,713.0,713.0
41.0,504.0,504.0
580.0,235.0,580.0
260.0,132.0,260.0
311.0,740.0,740.0
301.0,756.0,756.0
845.0,851.0,851.0
478.0,950.0,950.0
47.0,315.0,315.0
211.0,59.0,211.0
669.0,51.0,669.0
443.0,731.0,731.0
532.0,64.0,532.0
887.0,438.0,887.0
906.0,916.0,916.0
500.0,977.0,977.0
194.0,787.0,787.0
584.0,251.0,584.0
516.0,491.0,516.0
73.0,935.0,935.0
427.0,768.0,768.0
368.0,131.0,368.0
863.0,712.0,863.0
545.0,338.0,545.0
649.0,392.0,649.0
294.0,875.0,875.0
476.0,711.0,711.0
117.0,621.0,621.0
908.0,720.0,908.0
37.0,238.0,238.0
315.0,772.0,772.0
356.0,70.0,356.0
467.0,970.0,970.0
64.0,638.0,638.0
986.0,330.0,986.0
451.0,24.0,451.0
199.0,642.0,642.0
993.0,114.0,993.0
217.0,216.0,217.0
777.0,72.0,777.0
570.0,854.0,854.0
460.0,60.0,460.0
573.0,885.0,885.0
526.0,294.0,526.0
516.0,372.0,516.0
442.0,236.0,442.0
744.0,474.0,744.0
507.0,48.0,507.0
425.0,158.0,425.0
883.0,232.0,883.0
304.0,764.0,764.0
88.0,1.0,88.0
116.0,579.0,579.0
132.0,933.0,933.0
952.0,117.0,952.0
194.0,861.0,861.0
238.0,590.0,590.0
480.0,797.0,797.0
474.0,493.0,493.0
567.0,550.0,567.0
346.0,546.0,546.0
228.0,554.0,554.0
576.0,637.0,637.0
54.0,402.0,402.0
779.0,882.0,882.0
700.0,474.0,700.0
931.0,288.0,931.0
59.0,477.0,477.0
896.0,82.0,896.0
483.0,718.0,718.0
270.0,714.0,714.0
255.0,520.0,520.0
627.0,468.0,627.0
116.0,725.0,725.0
862.0,592.0,862.0
959.0,138.0,959.0
798.0,295.0,798.0
762.0,473.0,762.0
662.0,445.0,662.0
323.0,368.0,368.0
508.0,12.0,508.0
978.0,909.0,978.0
685.0,26.0,685.0
128.0,210.0,210.0
824.0,434.0,824.0
170.0,147.0,170.0
401.0,809.0,809.0
16.0,239.0,239.0
180.0,109.0,180.0
38.0,616.0,616.0
772.0,661.0,772.0
434.0,14.0,434.0
112.0,493.0,493.0
673.0,929.0,929.0
488.0,870.0,870.0
26.0,11.0,26.0
433.0,178.0,433.0
999.0,657.0,999.0
164.0,465.0,465.0
455.0,414.0,455.0
896.0,571.0,896.0
291.0,598.0,598.0
993.0,888.0,993.0
591.0,300.0,591.0
880.0,663.0,880.0
